run,classname,last,count,delta,lenmean,lensd,lenmax
28,Range,163,164,1,,,
28,Mongrel::Stats,79,101,22,,,
28,NoMethodError,22,33,11,,,
28,MatchData,20,30,10,2.266667,2.333169,8.000000
28,Bignum,17,19,2,,,
28,StringIO,15,18,3,667.055556,1830.954315,7136.000000
28,File,11,12,1,,,
29,String,38815,35063,-3752,29.278527,57.530788,2308.000000
29,Array,5589,1722,-3867,8.593496,40.278890,535.000000
29,Class,992,976,-16,,,
29,Regexp,953,914,-39,,,
29,Float,248920,725,-248195,,,
29,Module,404,398,-6,,,
29,Proc,633,380,-253,,,
29,Hash,515,340,-175,13.217647,52.902200,521.000000
29,Range,164,157,-7,,,
29,Rational,10,67,57,,,
29,Time,209,65,-144,,,
29,Set,25,16,-9,68.875000,174.032899,521.000000
29,Mime::Type,15,14,-1,,,
29,Bignum,19,14,-5,,,
29,Mutex,14,11,-3,,,
29,File,12,11,-1,,,
30,String,35063,35043,-20,29.247353,57.534081,2308.000000
30,Float,725,429,-296,,,
30,Time,65,66,1,,,
31,String,35043,35095,52,29.318336,57.529007,2308.000000
31,Float,429,25680,25251,,,
31,Array,1722,1726,4,8.591541,40.233846,535.000000
31,Time,66,74,8,,,
31,Mongrel::Stats,10,17,7,,,
32,Float,25680,185820,160140,,,
32,String,35095,38848,3753,33.845397,85.972069,4744.000000
32,Array,1726,2024,298,8.914032,38.092111,535.000000
32,Float,25680,196981,171301,,,
32,Class,976,1005,29,,,
32,String,35095,38958,3863,33.959187,85.890059,4744.000000
32,Regexp,914,960,46,,,
32,Array,1726,2036,310,8.911591,37.987830,535.000000
32,Proc,380,450,70,,,
32,Class,976,1005,29,,,
32,Hash,340,449,109,11.628062,47.151515,521.000000
32,Regexp,914,960,46,,,
32,Module,398,405,7,,,
32,Proc,380,450,70,,,
32,Range,157,163,6,,,
32,Hash,340,449,109,11.719376,47.275282,521.000000
32,Time,74,118,44,,,
32,Module,398,405,7,,,
32,Mongrel::Stats,17,50,33,,,
32,Range,157,163,6,,,
32,NewRelic::TransactionSample::Segment,10,35,25,,,
32,Time,74,121,47,,,
32,ActionView::ReloadableTemplate,0,29,29,,,
32,Mongrel::Stats,17,54,37,,,
32,NewRelic::MethodTraceStats,9,25,16,,,
32,NewRelic::TransactionSample::Segment,10,35,25,,,
32,Set,16,19,3,71.894737,159.485595,521.000000
32,ActionView::ReloadableTemplate,0,29,29,,,
32,Mime::Type,14,15,1,,,
32,NewRelic::MethodTraceStats,9,25,16,,,
32,MatchData,3,14,11,1.857143,1.406422,4.000000
32,Set,16,19,3,71.894737,159.485595,521.000000
32,MatchData,3,16,13,1.750000,1.341641,4.000000
32,YAML::Syck::Scalar,0,14,14,,,
32,Mime::Type,14,15,1,,,
32,Mutex,11,14,3,,,
32,YAML::Syck::Scalar,0,14,14,,,
32,StringIO,3,12,9,780.166667,1630.558512,4744.000000
32,Mutex,11,14,3,,,
32,NewRelic::MetricSpec,5,12,7,,,
32,NewRelic::MetricSpec,5,12,7,,,
32,NewRelic::ScopedMethodTraceStats,5,12,7,,,
32,NewRelic::ScopedMethodTraceStats,5,12,7,,,
34,Float,196981,126967,-70014,,,
34,String,38958,38606,-352,32.993887,70.133047,3689.000000
34,Array,2036,1997,-39,8.933901,38.330485,535.000000
34,Float,196981,164239,-32742,,,
34,Regexp,960,959,-1,,,
34,String,38958,38716,-242,33.110807,70.083404,3689.000000
34,Proc,450,448,-2,,,
34,Array,2036,2008,-28,8.934761,38.233245,535.000000
34,Hash,449,441,-8,12.453515,48.525094,521.000000
34,Regexp,960,959,-1,,,
34,Time,121,129,8,,,
34,Float,196981,180224,-16757,,,
34,Proc,450,448,-2,,,
34,Mongrel::Stats,54,60,6,,,
34,String,38958,38859,-99,33.278237,70.056884,3689.000000
34,Hash,449,440,-9,12.529545,48.766975,521.000000
34,YAML::Syck::Scalar,14,28,14,,,
34,Array,2036,2025,-11,8.923951,38.082863,535.000000
34,Time,121,139,18,,,
34,Mutex,14,13,-1,,,
34,Regexp,960,959,-1,,,
34,Mongrel::Stats,54,69,15,,,
34,MatchData,16,11,-5,1.818182,1.401298,4.000000
34,Proc,450,448,-2,,,
34,YAML::Syck::Scalar,14,28,14,,,
35,Hash,441,440,-1,12.722727,49.134379,521.000000
35,MatchData,11,13,2,1.692308,1.315587,4.000000
35,Time,129,148,19,,,
36,Mongrel::Stats,69,78,9,,,
36,MatchData,13,16,3,1.750000,1.341641,4.000000
37,Float,180224,301566,121342,,,
37,String,38859,43005,4146,33.628439,82.958111,4096.000000
37,Array,2025,6492,4467,4.018484,22.006280,535.000000
37,Regexp,959,1000,41,,,
37,Proc,448,655,207,,,
37,Hash,440,587,147,10.691652,43.479649,521.000000
37,MatchData,16,229,213,1.327511,0.923468,6.000000
37,Time,148,226,78,,,
37,YAML::Syck::Scalar,28,198,170,,,
37,Mongrel::Stats,78,91,13,,,
37,HashWithIndifferentAccess,5,26,21,2.307692,1.463400,4.000000
37,Mutex,13,16,3,,,
37,StringIO,12,15,3,554.933333,1157.829710,3689.000000
37,File,11,14,3,,,
37,ActiveSupport::Callbacks::CallbackChain,7,13,6,0.384615,0.767948,2.000000
38,Float,301566,80369,-221197,,,
38,String,43005,38430,-4575,32.863284,69.857317,3689.000000
38,Array,6492,1978,-4514,8.984833,38.506117,535.000000
38,Regexp,1000,960,-40,,,
38,Proc,655,448,-207,,,
38,Hash,587,423,-164,12.120567,48.752369,521.000000
38,Time,226,92,-134,,,
38,Mongrel::Stats,91,25,-66,,,
38,YAML::Syck::Scalar,198,14,-184,,,
38,Mutex,16,13,-3,,,
38,File,14,11,-3,,,
39,Float,80369,139507,59138,,,
39,String,38430,39471,1041,34.927719,104.991246,7136.000000
39,Array,1978,2037,59,9.196367,38.235360,535.000000
39,Float,80369,206172,125803,,,
39,Float,80369,192160,111791,,,
39,Class,1005,1009,4,,,
39,String,38430,39826,1396,35.081479,104.636061,7136.000000
39,String,38430,39548,1118,35.005108,104.928095,7136.000000
39,Hash,423,504,81,11.470238,45.667951,521.000000
39,Array,1978,2089,111,9.120632,37.813033,535.000000
39,Array,1978,2053,75,9.145153,38.061999,535.000000
39,Proc,448,450,2,,,
39,Class,1005,1009,4,,,
39,Class,1005,1009,4,,,
39,Module,405,412,7,,,
39,Regexp,960,959,-1,,,
39,Regexp,960,959,-1,,,
39,Time,92,146,54,,,
39,Float,80369,220923,140554,,,
39,Hash,423,498,75,11.939759,46.787206,521.000000
39,Hash,423,494,71,11.973684,46.846836,521.000000
39,Mongrel::Stats,25,73,48,,,
39,String,38430,40021,1591,35.230079,104.430329,7136.000000
39,Proc,448,452,4,,,
39,Proc,448,450,2,,,
39,NewRelic::TransactionSample::Segment,35,43,8,,,
39,Array,1978,2110,132,9.109005,37.636761,535.000000
39,Module,405,412,7,,,
39,Module,405,412,7,,,
39,YAML::Syck::Scalar,14,42,28,,,
39,Class,1005,1009,4,,,
39,Time,92,167,75,,,
39,Time,92,156,64,,,
39,Set,19,21,2,65.428571,152.676315,521.000000
39,Regexp,960,961,1,,,
39,Mongrel::Stats,25,92,67,,,
39,Mongrel::Stats,25,83,58,,,
39,StringIO,6,18,12,657.111111,1834.269205,7136.000000
39,Hash,423,499,76,11.979960,46.876232,521.000000
39,NewRelic::TransactionSample::Segment,35,41,6,,,
39,NewRelic::TransactionSample::Segment,35,41,6,,,
39,Mutex,13,14,1,,,
39,Proc,448,454,6,,,
39,YAML::Syck::Scalar,14,28,14,,,
39,YAML::Syck::Scalar,14,28,14,,,
40,Time,146,175,29,,,
40,Set,21,22,1,62.454545,149.648390,521.000000
40,MatchData,10,14,4,1.857143,1.406422,4.000000
40,Mongrel::Stats,73,99,26,,,
40,MatchData,10,17,7,1.882353,1.409005,4.000000
41,Set,21,22,1,62.454545,149.648390,521.000000
42,MatchData,17,19,2,1.789474,1.357242,4.000000
43,Float,220923,102589,-118334,,,
43,String,40021,39052,-969,33.899493,78.838922,7136.000000
43,Array,2110,2002,-108,9.245255,38.515407,535.000000
43,Regexp,961,958,-3,,,
43,Float,220923,108471,-112452,,,
43,Hash,499,466,-33,11.879828,47.401267,521.000000
43,String,40021,39154,-867,33.850130,69.962234,3689.000000
43,Proc,454,448,-6,,,
43,Array,2110,2018,-92,9.235382,38.372526,535.000000
43,Time,175,110,-65,,,
43,Regexp,961,958,-3,,,
43,Mongrel::Stats,99,39,-60,,,
43,Hash,499,461,-38,11.845987,47.552901,521.000000
43,Set,22,25,3,55.040000,141.475699,521.000000
43,Proc,454,448,-6,,,
43,Mutex,14,13,-1,,,
43,Time,175,119,-56,,,
43,ActiveRecord::ConnectionAdapters::MysqlColumn,0,12,12,,,
43,Mongrel::Stats,99,48,-51,,,
43,StringIO,18,12,-6,979.500000,2204.412290,7136.000000
43,Set,22,25,3,55.040000,141.475699,521.000000
45,Float,108471,232231,123760,,,
45,String,39154,40182,1028,33.865213,70.641486,3689.000000
45,Array,2018,4209,2191,5.330957,27.090636,535.000000
45,Regexp,958,961,3,,,
45,Proc,448,573,125,,,
45,Hash,461,483,22,11.968944,47.288128,521.000000
45,Time,119,170,51,,,
45,YAML::Syck::Scalar,0,122,122,,,
45,Mongrel::Stats,48,73,25,,,
45,MatchData,10,26,16,2.461538,2.453255,8.000000
45,Bignum,14,18,4,,,
45,StringIO,9,12,3,341.833333,1056.415021,3689.000000
46,Float,232231,314872,82641,,,
46,String,40182,40689,507,33.782841,70.872757,3689.000000
46,Array,4209,5324,1115,4.570436,24.249264,535.000000
46,Regexp,961,964,3,,,
46,Proc,573,637,64,,,
46,Hash,483,500,17,11.990000,46.894222,521.000000
46,Time,170,193,23,,,
46,YAML::Syck::Scalar,122,184,62,,,
46,Range,163,164,1,,,
46,Mongrel::Stats,73,82,9,,,
46,MatchData,26,35,9,2.171429,2.216061,8.000000
46,Bignum,18,20,2,,,
46,StringIO,12,15,3,283.933333,944.673675,3689.000000
46,File,11,12,1,,,
46,Thread,10,11,1,,,
47,Float,314872,224370,-90502,,,
47,String,40689,47213,6524,32.462775,89.113802,5078.000000
47,Float,314872,233214,-81658,,,
47,Array,5324,4671,-653,5.815243,26.540235,535.000000
47,String,40689,47322,6633,32.560310,89.043813,5078.000000
47,MatchData,35,1029,994,1.031098,0.255303,4.000000
47,Array,5324,4681,-643,5.823969,26.517157,535.000000
47,Class,1009,1006,-3,,,
47,MatchData,35,1031,996,1.031038,0.255059,4.000000
47,Regexp,964,985,21,,,
47,Class,1009,1006,-3,,,
47,Hash,500,933,433,7.047160,34.392177,521.000000
47,Regexp,964,985,21,,,
47,Proc,637,542,-95,,,
47,Hash,500,933,433,7.062165,34.444587,521.000000
47,Module,412,405,-7,,,
47,Proc,637,542,-95,,,
47,Time,193,198,5,,,
47,Module,412,405,-7,,,
47,NewRelic::TransactionSample::Segment,41,135,94,,,
